id,aos_station,province,month,crop_type,effective_rainfall_mm,created_at,updated_at
1,นครราชสีมา,นครราชสีมา,1,rice,4.60,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
2,นครราชสีมา,นครราชสีมา,2,rice,20.50,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
3,นครราชสีมา,นครราชสีมา,3,rice,41.60,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
4,นครราชสีมา,นครราชสีมา,4,rice,65.80,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
5,นครราชสีมา,นครราชสีมา,5,rice,152.10,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
6,นครราชสีมา,นครราชสีมา,6,rice,104.50,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
7,นครราชสีมา,นครราชสีมา,7,rice,122.50,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
8,นครราชสีมา,นครราชสีมา,8,rice,128.00,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
9,นครราชสีมา,นครราชสีมา,9,rice,233.20,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
10,นครราชสีมา,นครราชสีมา,10,rice,152.10,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
11,นครราชสีมา,นครราชสีมา,11,rice,31.00,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
12,นครราชสีมา,นครราชสีมา,12,rice,3.60,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
13,นครราชสีมา,นครราชสีมา,1,field_crop,4.60,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
14,นครราชสีมา,นครราชสีมา,2,field_crop,16.50,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
15,นครราชสีมา,นครราชสีมา,3,field_crop,31.30,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
16,นครราชสีมา,นครราชสีมา,4,field_crop,42.30,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
17,นครราชสีมา,นครราชสีมา,5,field_crop,67.60,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
18,นครราชสีมา,นครราชสีมา,6,field_crop,46.50,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
19,นครราชสีมา,นครราชสีมา,7,field_crop,74.50,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
20,นครราชสีมา,นครราชสีมา,8,field_crop,89.30,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
21,นครราชสีมา,นครราชสีมา,9,field_crop,142.60,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
22,นครราชสีมา,นครราชสีมา,10,field_crop,81.80,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
23,นครราชสีมา,นครราชสีมา,11,field_crop,21.40,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
24,นครราชสีมา,นครราชสีมา,12,field_crop,3.60,2025-07-11 06:07:44.833725,2025-07-11 06:07:44.833725
