id,aos_station,province,month,eto_value,created_at,updated_at
1,นครราชสีมา,นครราชสีมา,1,104.91,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.209855
2,นครราชสีมา,นครราชสีมา,2,114.39,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.278696
3,นครราชสีมา,นครราชสีมา,3,148.61,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.280366
4,นครราชสีมา,นครราชสีมา,4,152.45,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.281517
5,นครราชสีมา,นครราชสีมา,5,145.08,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.282656
6,นครราชสีมา,นครราชสีมา,6,131.31,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.283944
7,นครราชสีมา,นครราชสีมา,7,132.53,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.284934
8,นครราชสีมา,นครราชสีมา,8,124.16,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.285995
9,นครราชสีมา,นครราชสีมา,9,114.01,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.287161
10,นครราชสีมา,นครราชสีมา,10,117.65,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.28822
11,นครราชสีมา,นครราชสีมา,11,105.34,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.289284
12,นครราชสีมา,นครราชสีมา,12,100.61,2025-07-10 08:24:59.362243,2025-07-10 14:56:28.290271
