Unnamed: 0,คลอง,กม.,Unnamed: 3,ระยะ,Qr,Qmax (จากแผนรอบเวรส่งน้ำ),Qd,A,V,Experiment,R,n,s,B,D,t,HC,HL,HR,Bm,TL,TR,RL,RR,หมายเหตุ,Unnamed: 26,คลอง.1,กม..1,Unnamed: 29,ระยะ.1,พื้นที่,ปริมาตรน้ำ,ปริมาตรน้ำสะสม,พื้นที่กันเขต
,,เริ่ม,สิ้นสุด,ม.,ม.3/วินาที,ม.3/วินาที,ม.3/วินาที,ม.2,ม./วินาที,ม./วินาที,ม.,,,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,ม.,,,,เริ่ม,สิ้นสุด,(ม.),(ตร.ม.),(ลบ.ม.),(ลบ.ม.),(ตร.ม.)
,LMC,0+000,0+170,170,-,11.2,11.2,,,,,,,,,,,,,,,,,,Flume,,LMC,0+000,0+170,170,,0,0,0
,,0+170,1+620,1450,-,9.926,9.961,11.609,0.858,,1.141,0.018,0.0002,3.5,1.85,0.06,2.3,2.75,2.75,2,6,6,30,30,คลองดาดคอนกรีต,,,0+170,1+620,1450,11.60875,16832.6875,16832.6875,87000
,,1+620,3+500,1880,-,,8.778,10.513,0.835,,1.095,0.018,0.0002,3,1.83,0.06,2.18,2.68,2.68,2,2,6,30,30,คลองดาดคอนกรีต,,,1+620,3+500,1880,10.51335,19765.098,36597.7855,112800
,,3+500,7+000,3500,-,,8.778,10.513,0.835,0.94,1.095,0.018,0.0002,3,1.83,0.06,2.18,2.68,2.68,2,2,6,30,30,คลองดาดคอนกรีต,,,3+500,7+000,3500,10.51335,36796.725000000006,73394.5105,210000
,,7+000,9+200,2200,-,8.737,8.778,10.513,0.835,0.61,1.095,0.018,0.0002,3,1.83,0.06,2.18,2.68,2.68,2,2,6,30,30,คลองดาดคอนกรีต,,,7+000,9+200,2200,10.51335,23129.370000000003,96523.8805,132000
,,9+200,10+500,1300,-,,5.943,7.84,0.758,,0.948,0.018,0.0002,2.5,1.6,0.06,1.9,2.35,2.35,2,2,6,30,30,คลองดาดคอนกรีต,,,9+200,10+500,1300,7.840000000000001,10192.000000000002,106715.8805,78000
,,10+500,12+720,2220,-,5.963,5.943,7.84,0.758,0.68,0.948,0.018,0.0002,2.5,1.6,0.06,1.9,2.35,2.35,2,2,6,30,30,คลองดาดคอนกรีต,,,10+500,12+720,2220,7.840000000000001,17404.800000000003,124120.6805,133200
,,12+720,13+420,700,-,5.963,5.943,7.84,0.758,,0.948,0.018,0.0002,2.5,1.6,0.06,1.9,*,2.35,2,2,6,30,30,Hl=3.00-6.00,,,12+720,13+420,700,7.840000000000001,5488.000000000001,129608.6805,42000
,,13+420,14+000,580,-,,5.943,7.84,0.758,,0.948,0.018,0.0002,2.5,1.6,0.06,1.9,2.35,2.35,2,2,6,30,30,คลองดาดคอนกรีต,,,13+420,14+000,580,7.840000000000001,4547.200000000001,134155.8805,34800
,,14+000,17+000,3000,-,5.963,5.943,7.84,0.758,0.69,0.948,0.018,0.0002,2.5,1.6,0.06,1.9,2.35,2.35,2,2,6,30,30,คลองดาดคอนกรีต,,,14+000,17+000,3000,7.840000000000001,23520.000000000004,157675.8805,180000
,,17+000,17+500,500,-,,5.579,7.479,0.746,,0.925,0.018,0.0002,2.5,1.55,0.06,1.85,2.35,2.35,2,2,6,30,30,คลองดาดคอนกรีต,,,17+000,17+500,500,7.478750000000001,3739.3750000000005,161415.2555,30000
,,17+500,21+000,3500,-,5.579,5.579,7.479,0.746,0.81,0.925,0.018,0.0002,2.5,1.55,0.06,1.85,2.35,2.35,2,2,6,30,30,คลองดาดคอนกรีต,,,17+500,21+000,3500,7.478750000000001,26175.625000000004,187590.8805,210000
