Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
No.,Canal Name,Section (ช่วงคลอง),Km. -> Km.,Gate Valve,x,y,i,j,k,l,m,n,Zone,PC/SC/TC/QC,km,Area (Rais),Area (sq. m.),ช่วงคลอง,ระยะทาง (เมตร),q_max (m^3/s),ความเร็วน้ำจากการทดลอง (m/s),RMS Crop ID,Required Daily Water (cm),Required Daily Volume (m3),Latitude,Longitude,
1,Outlet,1,0+000 - 0+300,"M(0,0)",0,0,,,,,,,1,PC,0+000,0,,,0.17,11.2,,xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,15,0,,,
,LMC,2,0+300 - 1+620,"M(0,1)",0,1,,,,,,,,PC,0+300,,,,,,,,,,,,
3,LMC,3,1+620 - 6+880 ,"M(0,2)",0,2,,,,,,,1,PC,1+620,972,1555200,3,5.26,8.737,,,0,0,14.52294,102.15897,
4,LMC,4,6+880 - 9+200,"M(0,3)",0,3,,,,,,,1,PC,6+880,689,1102400,4,2.3199999999999994,8.737,,,12,132288,14.54065,102.15148,
5,LMC,5,9+200 - 11+800,"M(0,4)",0,4,,,,,,,1,PC,9+200,1778,2844800,5,2.6000000000000014,5.963,,,8,227584,14.56256,102.14713,
6,LMC,6,11+800 - 17+000,"M(0,5)",0,5,,,,,,,2,PC,11+800,2357,3771200,6,5.199999999999999,5.963,,,4,150848,14.58716,102.13686,
7,LMC,7,17+000 - 21+000,"M(0,6)",0,6,,,,,,,2,PC,17+000,1726,2761600,7,4,5.579,,,7,193312,14.607866,102.121159,
8,LMC,8,21+000 - 23+315,"M(0,7)",0,7,,,,,,,2,PC,21+000,693,1108800,8,2.3150000000000013,5.43,,,9,99792,14.615992,102.124679,
9,LMC,9,23+315 - 25+700,"M(0,8)",0,8,,,,,,,2,PC,23+315,1434,2294400,9,2.384999999999998,5.43,,,5,114720,14.626438,102.135516,
10,LMC,10,25+700 - 28+300,"M(0,9)",0,9,,,,,,,2,PC,25+700,1527,2443200,10,2.6000000000000014,5.082,,,7,171024,14.648394,102.144996,
11,LMC,11,28+300 - 36+010,"M(0,10)",0,10,,,,,,,2,PC,28+300,2611,4177600,11,7.709999999999997,4.646,,,6,250656,14.653169,102.130342,
12,LMC,12,36+010 - 37+859,"M(0,11)",0,11,,,,,,,2,PC,36+010,449,718400,12,1.8490000000000038,4.179,,,12,86208,14.670548,102.141286,
13,LMC,13,37+859 - 38+100,"M(0,12)",0,12,,,,,,,2,PC,37+859,65,104000,13,0.24099999999999966,4.179,,,10,10400,14.678656,102.139975,
14,LMC,14,38+100 - 38+700,"M(0,13)",0,13,,,,,,,2,PC,38+100,104,166400,14,0.9499999999999957,0.182,,,15,24960,14.682893,102.139456,
15,LMC,,38+700,"M(0,14)",0,14,,,,,,,2,PC,39+050,,,,,,,,0,0,,,
16,Waste Way,,0+000 - 0+300,"M(0,0; 1,0)",0,0,1,0,,,,,1,WW,0+160,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,
17,RMC,35,0+000 - 2+600,"M (0,1; 1,0)",0,1,1,0,,,,,6,SC,0+000,,0,35,2.6,1.375,,,9,0,14.504712,102.15958,"14.504712,102.159580"
18,RMC,36,2+600 - 4+520,"M (0,1; 1,1)",0,1,1,1,,,,,6,SC,2+600,,0,36,1.9199999999999995,1.375,,,11,0,14.52029,102.167026,"14.520290,102.167026"
19,RMC,37,4+520 - 5+500,"M (0,1; 1,2)",0,1,1,2,,,,,6,SC,4+520,,0,37,0.9800000000000004,1.234,,,14,0,14.532162,102.175128,"14.532162,102.175128"
20,RMC,38,5+500 - 6+780,"M (0,1; 1,3)",0,1,1,3,,,,,6,SC,5+500,,,38,1.2800000000000002,,,,,,,,
21,RMC,,6+780,"M (0,1; 1,4)",0,1,1,4,,,,,6,SC,6+780,,,,,,,,8,0,,,
,FTO 2+450,,0+000 - 2+600,"M(0,1; 1,0; 1,0)",0,1,1,0,1,0,,,6,FTO,2+450,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,
5,4L-RMC,39,0+000 - 0+750,"M(0,1; 1,1; 1,0)",0,1,1,1,1,0,,,6,TC,0+000,,,39,0.75,0.815,,,12,0,14.534367,102.168297,"14.534367,102.168297"
,4L-RMC,40,0+750 - 1+850,"M(0,1; 1,1; 1,1)",0,1,1,1,1,1,,,6,TC,0+750,,,,1.1,,,,,,,,
6,4L-RMC,40,1+850 - 2+600,"M(0,1; 1,1; 1,2)",0,1,1,1,1,2,,,6,TC,1+850,,,40,0.75,0.397,,,10,0,14.542187,102.169544,"14.542187,102.169544"
7,4L-RMC,41,2+600 - 3+000,"M(0,1; 1,1; 1,3)",0,1,1,1,1,3,,,6,TC,2+600,,,41,0.3999999999999999,0.205,,,2,0,14.546393,102.172391,"14.546393,102.172391"
9,4L-RMC,,3+000,"M(0,1; 1,1; 1,4)",0,1,1,1,1,4,,,6,TC,3+000,,0,,,,,,5,0,,,
,FTO337 Rai,,1+850 - 2+600,"M(0,1; 1,1; 1,2; 1,0)",0,1,1,1,1,2,1,0,6,FTO,2+333,337,539200,0,,,,,8,43136,14.548503,102.168876,"14.548503,102.168876"
,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23,9R-LMC,15,0+000 - 5+700,"M (0,3; 1,0)",0,3,1,0,,,,,3,SC,0+000,2620,4192000,15,5.75,2.201,,,0,0,14.56806,102.16658,
24,9R-LMC,16,5+700 - 7+900,"M (0,3; 1,1)",0,3,1,1,,,,,3,SC,5+750,1348,2156800,16,2.1500000000000004,1.927,,,2,43136,14.581917,102.165242,
25,9R-LMC,17,7+900 - 14+400,"M (0,3; 1,2)",0,3,1,2,,,,,3,SC,7+900,5366,8585600,17,6.6,0.6213333333333334,,,3,257568,14.623034,102.145365,
26,9R-LMC,,14+400,"M (0,3; 1,3)",0,3,1,3,,,,,3,SC,14+500,,,,,,,,1,0,,,
27,7R-9R-LMC,18,0+000 - 3+000,"M (0,3; 1,1; 1,0)",0,3,1,1,1,0,,,3,TC,0+000,760,1216000,18,3,0.36550000000000005,,,4,48640,14.596153,102.162253,
28,7R-9R-LMC,,3+000,"M (0,3; 1,1; 1,1)",0,3,1,1,1,1,,,3,TC,3+000,,,,,,,,5,0,,,
29,7L-9R-LMC,19,0+000 - 2+500,"M (0,3; 1,1; 2,0)",0,3,1,1,2,0,,,3,TC,0+000,1133,1812800,19,2.5,0.2695,,,2,36256,14.575572,102.156921,
30,7L-9R-LMC,,2+500,"M (0,3; 1,1; 2,1)",0,3,1,1,2,1,,,3,TC,2+500,,,,,,,,4,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,,,
31,38R-LMC,20,0+000 - 1+720,"M (0,12; 1,0)",0,12,1,0,,,,,4,SC,0+000,654,1046400,20,1.72,3.652,,,9,94176,14.681567,102.150641,
32,38R-LMC,21,1+720 - 3+000,"M (0,12; 1,1)",0,12,1,1,,,,,4,SC,1+720,503,804800,21,1.28,2.008,,,8,64384,14.686948,102.159909,
33,38R-LMC,27,3+000 - 4+500,"M (0,12; 1,2)",0,12,1,2,,,,,4,SC,3+000,139,222400,27,1.5,1.927,,,10,22240,14.694342,102.166895,
43,38R-LMC,28,4+500 - 6+620,"M (0,12; 1,3)",0,12,1,3,,,,,5,SC,4+500,694,1110400,28,2.12,1.102,,,12,133248,14.693772,102.178651,
44,38R-LMC,29,6+620 - 8+780,"M (0,12; 1,4)",0,12,1,4,,,,,5,SC,6+620,813,1300800,29,2.2800000000000002,0.67,,,11,143088,14.70623,102.18822,
45,38R-LMC,,8+780,"M (0,12; 1,5)",0,12,1,5,,,,,5,SC,8+900,,0,,,,,,10,0,,,
34,1R-38R-LMC,22,0+000 - 4+200,"M (0,12; 1,0; 1,0)",0,12,1,0,1,0,,,4,TC,0+000,1907,3051200,22,4.55,0.348,,,9,274608,14.6671,102.15993,
35,1R-38R-LMC,,4+200,"M (0,12; 1,0; 1,1)",0,12,1,0,1,1,,,4,TC,4+550,,0,,,,,,7,0,,,
36,2R-38R-LMC,23,0+000 - 0+540,"M (0,12; 1,1; 1,0)",0,12,1,1,1,0,,,4,TC,0+000,73,116800,23,0.54,1.297,,,11,12848,14.679024,102.154371,
37,2R-38R-LMC,24,0+540 - 3+650,"M (0,12; 1,1; 1,1)",0,12,1,1,1,1,,,4,TC,0+540,2124,3398400,24,3.34,0.3893333333333333,,,13,441792,14.6822,102.17185,
38,2R-38R-LMC,,3+650,"M (0,12; 1,1; 1,2)",0,12,1,1,1,2,,,4,TC,3+880,,0,,,,,,8,0,,,
39,1R-2R-38R-LMC,25,0+000 - 3+200,"M (0,12; 1,1; 1,0; 1,0)",0,12,1,1,1,0,1,0,4,QC,0+000,1121,1793600,25,3.2,0.8465,,,10,179360,14.67551,102.17273,
40,1R-2R-38R-LMC,26,3+200 - 7+720,"M (0,12; 1,1; 1,0; 1,1)",0,12,1,1,1,0,1,1,4,QC,3+200,1555,2488000,26,4.58,0.3603333333333334,,,12,298560,14.6867,102.19179,
41,1R-2R-38R-LMC,,7+720,"M (0,12; 1,1; 1,0; 1,2)",0,12,1,1,1,0,1,2,4,QC,7+780,,0,,,,,,6,0,,,
46,4L-38R-LMC,30,0+000 - 4+800,"M (0,12; 1,2; 1,0)",0,12,1,2,1,0,,,5,TC,0+000,1009,1614400,30,4,0.6520000000000001,,,6,96864,14.70739,102.1783,
47,4L-38R-LMC,31,4+800 - 5+800,"M (0,12; 1,2; 1,1)",0,12,1,2,1,1,,,5,TC,4+000,591,945600,31,3,0.3926666666666667,,,8,75648,14.72589,102.19177,
48,4L-38R-LMC,,5+800,"M (0,12; 1,2; 1,2)",0,12,1,2,1,2,,,5,TC,7+000,,0,,,,,,7,0,,,
